Name,Adresse
B!O Shop Viktoria,"Pilatusstrasse 19, 6003 "
BachserMärt Albisrieden,"Ginsterstrasse 1, 8047 "
BachserMärt Bachs,"Bachsertalstrasse 14, 8164 "
BachserMärt Eglisau,"Obergass 1, 8193 "
BachserMärt Kalkbreite,"Badenerstasse 171, 8003 "
BachserMärt Paradiesli,"Seefeldstrasse 29, 8008 "
Bio Casa 5 Stelle SA - Lugano,"Piazza Cioccaro 8, 6900 "
Bio Casa 5 Stelle SA – Agno,"Centro Migros, 6982 "
Bio Casa 5 Stelle SA – Ascona,"via Borgo 19, 6612 "
Bio Casa 5 Stelle SA – Bellinzona,"Piazza Nosetto 6, 6500 "
Bio Casa 5 Stelle SA – Losone,"Mercato Cattori, 6616 "
Bio Lade Bade AG,"Bahnhofstrasse 25, 5400 "
Bioladen Glück,"Bandwiesstr.7, 8630 "
Buono,"Schulthess-Allee 1, 5200 "
Casa Natura,"Edisonstrasse 26, 8050 "
Chornlade,"Fierzgasse 16, 8005 "
Chornlade Idaplatz,"Zurlindenstrasse 211, 8003 "
der bioladen,"Altstetterstrasse 128, 8048 "
Ekkharthof - Leben aus anderer Perspektive,"Rütelistrasse 2, 8574 "
Erboristi Lendi,"Via Costa 17, 6986 "
hallerladen – der biomarkt,"Länggassstrasse 30/Ecke Mittelstrasse, 3012 "
Höheners Der Basler Bioladen AG,"Schützenmattstrasse 30, 4051 "
Integral Bio-Laden,"Poststrasse 8, 3400 "
Korn.Haus,"Pestalozzistrasse 2, 9500 "
köstliches von haas,"Waldheimstr. 4, 6314 "
köstliches von haas,"Dorfstrasse 32, 6340 "
L'Aubier SA,"Les Murailles 5, 2037 "
L'ULTIMO BACIO franchising GmbH,"Hermesbühlstrasse 21, 4500 "
La Cucina Tee & Gewürze,"Leiernstrasse 3, 3054 "
La Ferme 1794,"Champ-Raclè 19, 3280 "
Lindenmühle,"Landstrasse 39, 8450 "
Märit-Laden Wabern,"Seftigenstrasse 208, 3084 "
Murimoos werken und wohnen,"Postfach, 5630 "
Naturlade Wald GmbH,"Schlipfstrasse 12, 8636 "
Oekoladen Thun GmbH,"Obere Haptgasse 20, 3600 "
Öpfelbaum,"Braschlergasse 8, 8610 "
Phönix,"Bahnhofstrasse 4, 2502 "
portanatura.ch,"Kirchplatz 6, 4800 "
PrimaNatura,"Dorfplatz 4, 4144 "
Rägawurm,"Comandergasse 3, 7000 "
Rägeboge Winterthur,"Rudolfstrasse 13, 8400 "
REFORM VETSCH,"Alvierstrasse 12, 9470 "
Regenbogen Bio Reformhaus,"Oberer Steisteg 10, 6340 "
s'Drüegg,"Gerbestrasse 6, 8820 "
Stadtladen,"Katharinengasse 12, 9000 "
Stiftung Stöckenweid,"Bünishoferstrasse 295, 8706 "
vatter Royal,"Luisenstrasse 14, 3005 "
WIWA-Naturkost,"Poststrasse 8, 4460 "
Almaris Fine Food GmbH,"Im Langstuck 4, 8044 "
Alna Diététique Bio,"Rue de Cornavin 3-5, 1201 "
Amaltheia bioreform,"Bankweg 51 A, 5610 "
Andeerer Sennerei,"Sennerei, 7440 "
Andermatt Andreas,"Paradies, 9323 "
Angolo della Natura,"Viale della Stazione, 7742 "
Arco Bio-Laden,"Obere Stallstrasse 2, 7430 "
ArteBio,"Av. de Riant-Mont 2, 1004 "
Arvensis SARL,"Av. Béthusy 31, 1012 "
Atelier Spinnler,"Hauptstrasse 47, 4654 "
atelier spirit,"Geerenstrasse 7c, 8604 "
AU FRIAND Sarl,"Faubourg de l'Hopital 1, 2000 "
Au Jardin de Cérès,"rue de Tanneurs 3, 2900 "
Aux saveurs des alpes,"Rte du Rhône 12, 1963 "
bambus bio-fair-trade,"Watterstrasse 18, 8105 "
Becke-Martin Frischprodukte,"Kirchgasse 7c, 4402 "
Bidone,"Hammerstrasse 21, 8008 "
Bio Bäckerei zum Lindhof,"Lindhofstrasse 53, 8617 "
BIO Betschla reform,"Stradun 335, 7550 "
Bio Biasca,"Via Lucomagno 12, 6710 "
Bio Govinda,"Via della Motta 11, 6600 "
Bio im Zentrum,"Uitikonerstrasse 9, 8952 "
Bio Imkerladen,"Berkenstrasse 9, 3373 "
Bio Ladä,"Grotzenmühlestrasse 38, 8840 "
Bio Market,"Via Lavizzari 7 b, 6900 "
Bio Markt,"Hubelweg 5, 1712 "
Bio Markt Liestal,"Hof Wil, 4437 "
Bio Peter,"Stadtgässli 9, 5600 "
Bio Servette,"Rte de Meyrin 3, 1202 "
Bio-Ladä,"Schmiedenstrasse 12, 8840 "
Bio-Laden,"Städtchen 8, 8730 "
Bio-Mag,"Rue E.-Roulet 3, 2034 "
Bio-Märt Fricktal,"Schaufelgasse 34, 4313 "
Bio-Source,"Rue de Gibraltar 20, 2000 "
biofair Genossenschaft,"Dorfwisenstrasse 14, 8165 "
Biolade Grüenfeld,"Grünfeld 2, 8833 "
Bioladen Eichblatt,"St. Johanns-Vorstadt 70, 4056 "
Bioladen Ulme,"Bankstrasse 30, 8750 "
BioLand,"Hauptstrasse 56, 8162 "
Bioland,"Tannwaldstrasse 44, 4600 "
biomobil,"Galizistrasse 6, 5632 "
BIONAT,"Werdstrasse 18, 9410 "
biopartnerLaden,"Staufferstrasse 2, 5703 "
BioPeter Frick,"Widengasse 10, 5070 "
Bioprodukte Grünegg GmbH,"Bellevuestrasse 2a, 6280 "
BioPunktBasel,"Mülhauserstrasse 78, 4056 "
Biosfair,"Bahnhofstrasse 4, 8570 "
BIOSFERA,"Via Bramantino 27, 6600 "
biowelt,"Bahnhofstrasse 35, 8580 "
Birena,"Freiburgstrasse 1, 3150 "
Bühl Laden,"Oberdorfstrasse 20, 8820 "
Calendula,"Soodstrasse 13, 8134 "
Canto Verde,"Limmattalstrasse 178, 8049 "
CC Bio Magasin,"Grand rue 22, 2616 "
Centaurea,"Hauptstrasse 30, 9434 "
"Cérès ""autrement""","Place des Halles 5, 2000 "
Ceres Nature,"Place du Manoir 12, 1223 "
Chäslaube M. Kündig,"Am Marktplatz, 9400 "
Chornlade,"Milchgasse 4, 5000 "
Christen,"Teufenerstrasse 145, 9012 "
Christine Frei,"Schwimmbadstrasse 7, 8213 "
D et A diffusion Sarl,"Pierre Péquignat 16, 2854 "
de Blacke Chrömer,"Marktgasse 3, 9050 "
Der Laden Biofachgeschäft,"Delsbergstrasse 24, 4242 "
Désirée Riedweg-Steinegger,"Mettmenstrasse 9, 6288 "
Drogerie Haas GmbH,"Freiestrasse 22, 8500 "
Egli Christoffel,"Im Bahnhof, 3011 "
Egli Jona,"Molkereistrasse 16, 8645 "
Egli Löwenstrasse - Natural beauty & more,"Löwenstrasse 30, 8001 "
Egli Plaza,"Im Bahnhof, 8001 "
Egli Stauffachertor,"Badenerstrasse 9, 8004 "
Egli Thun,"Bälliz 31, 3600 "
Fahrni Naturprodukte,"Via Salet, 7500 "
Fischermätteli - Lade,"Weissensteinstrasse 29a, 3008 "
Fondation Perceval (Magasin),"Maison François, 1162 "
Fournil de la Ferme,"Ch. de l'Auberge 4, 1213 "
Gaia Alimentation biologique,"2-4, rue Victor Tissot, 1630 "
Gänterli,"Vonmattstrasse 50, 6003 "
Gänterli Bio Laden,"St. Urbangasse 59, 4500 "
Garte-Chuchi,"Lützelflühstrasse 17, 3452 "
Gartenbauschule Hünibach,"Chartreusestrasse 7, 3626 "
Genossenschaft Hand in Hand,"Hauptstrasse 25, 6170 "
Gesundheitsmarkt,"Industriestrasse 31, 8305 "
Gesundquelle Naturladen,"Ob. Bahnhofstrasse 16, 3714 "
Gmüesgarten Schirmensee,"Bahnhofstrasse 2, 8714 "
Gsund & Gnuss,"Kreuzgasse 15, 3076 "
Gsund & Guet,"Plattenstrasse 26, 5712 "
Gsund und Guet Laden,"Hauptstrasse 19, 4133 "
Hildegard- Laden,"Pestalozzistrasse 10, 8865 "
"Käse, Brot & Co.","Schlüsselweg 5, 8810 "
Kaufmann Jakob,"Oberfeld, 6275 "
Kochtopf,"Rathausplatz 5, 6210 "
Kornblume,"Wiesenstrasse 10, 4900 "
L'Ultimo Bacio,"Nordstrasse 227, 8037 "
L'Ultimo Bacio,"Obertor 5, 8400 "
L'ULTIMO BACIO Rheinfelden GmbH,"Obertorplatz 7, 4310 "
L'Ultimo Bacio St.Gallen,"Poststrasse 14, 9000 "
La Bottega,"Bottega Spruga, 6663 "
la fontaine,"Chemin de la Fontaine 2, 1260 "
La Source,"Place Centrale, 1936 "
Laden 29,"Zeughausplatz 29, 4410 "
Laden an der R.Steiner Schule,"Schützengasse 54, 2502 "
Lamaventura,"Reits 311a, 7173 "
Le Chat Noir,"1787, "
Le Marché de Vie,"25, rue des Eaux-Vives, 1207 "
Le Panier Bio,"60 Route de Thonon, 1222 "
Le petit Paradis,"Résidence - Equestre10, 1746 "
Le Petit-Paradis ,"Pl. du Petit-Paradis 24, 1700 "
Le Relais de la Nature,"Place de l'Octroi 10, 1228 "
Le Topinambour,"av. William-Fraisse 9, 1006 "
LOLA,"Lorrainestrasse 27, 3013 "
Magasin Cérès,"Place du marché 4, 2300 "
"Marché ""main dans la main""","La Chaussé, 1174 "
Marché-Bio Kalt,"Les eterpis 2, 1124 "
Margrit Bugmann (Bärner Märit),"Muristrasse 99, 3006 "
Martinslade,"Luzernstrasse 94, 6102 "
Matte-Lädeli,"Gerberngasse 21, 3011 "
Mio Bio Sagl,"via Stazione 78, 6987 "
Mühlistübli / Berger Mühle,"Unterdorfstrasse 23, 3612 "
Müller Edy,"Grüningerstrasse 147, 8626 "
Natur + Leben Centaurea,"Hauptstrasse 30, 9434 "
Natur-Lädeli,"Allmendstrasse 75, 4500 "
Naturade,"l'Abbaye 108, 2906 "
Naturata Wettingen (Egli Reform AG),"Landstrasse 102, 5430 "
Naturdrogerie,"Hauptstrasse 40, 2560 "
Naturellement Vôtre,"Rue des Rottes 26, 1964 "
Naturlädäli,"Spielhof 9, 8750 "
Naturladen,"Haus Derby, 7050 "
Naturladen,"Poststrasse, 7050 "
Natürli GmbH,"Hauptstrasse 5, 9320 "
Natürlich Keller,"Unterer Zielweg 113, 4143 "
NATÜRLICHmeyer,"Strählgasse 23, 5413 "
Naturprodukte zum Sunneliecht,"Froburgstrasse 3, 8194 "
Negozio da mont,"Ces, 6747 "
Nektar Bioladen,"Luzernerstrasse 18, 6010 "
Neumühle,"Neumühlestrasse 40, 8406 "
Niione Natur,"Alpenstrasse 15, 6304 "
Oase - Laden & Bistro,"Dorfstrasse 45, 8630 "
Oasis Santé,"Rue Dr. Schwab 14, 2610 "
Oekoladen,"Theaterstrasse 7, 4051 "
Ojo De Agua,"Oetenbachgasse 13, 8001 "
oka superfoods,"Obertor 7, 8400 "
Paradies Dorflädeli,"Breitlenweg 6, 8634 "
Pfifouter Naturprodukte,"Bernstrasse 6, 3550 "
Piment Vert Sarl,"Avenue de la Gare 10, 1814 "
Plüss Bio Markt GmbH,"Dorfplatz 6, 6060 "
Prima Natura,"Eisengasse 12, 6004 "
Pro Natur,"Oberdorfstrasse 12, 8340 "
Punkt Sirnach AG,"Winterthurerstrasse 3, 8370 "
Punkt Wil,"Marktgasse 38, 9500 "
purpur Biolädeli,"Postgasse 2 / Höheweg, 3800 "
Q-Laden,"Quartierhof 1, 3013 "
